mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.383,0.823,0.788,0.242,0.564,0.092,1.686,4.279,0.0
0.395,0.838,0.298,0.166,0.401,0.093,0.958,3.971,0.0
0.371,0.832,0.349,0.152,0.401,0.082,0.985,3.966,0.0
0.401,0.83,0.302,0.159,0.407,0.084,0.951,3.964,0.0
0.486,0.814,0.212,0.143,0.422,0.073,0.849,3.92,0.0
0.488,0.802,0.243,0.144,0.425,0.073,0.885,3.904,0.0
0.412,0.822,0.276,0.146,0.406,0.072,0.899,3.947,0.0
0.433,0.818,0.335,0.132,0.411,0.07,0.948,3.959,0.0
0.459,0.802,0.248,0.128,0.412,0.07,0.857,3.937,0.0
0.416,0.816,0.228,0.127,0.38,0.067,0.802,3.897,0.0
0.466,0.812,0.22,0.118,0.379,0.067,0.785,3.961,0.0
0.479,0.816,0.233,0.117,0.372,0.058,0.781,3.943,0.0
0.469,0.816,0.277,0.11,0.377,0.063,0.827,3.926,0.0
0.489,0.824,0.201,0.113,0.355,0.058,0.727,3.881,0.0
0.525,0.832,0.228,0.103,0.331,0.055,0.717,3.938,0.0
0.531,0.831,0.205,0.095,0.334,0.055,0.688,3.917,0.0
0.532,0.858,0.221,0.092,0.318,0.056,0.686,3.953,0.0
0.459,0.868,0.237,0.086,0.275,0.044,0.642,3.966,0.0
0.477,0.887,0.208,0.074,0.247,0.052,0.58,3.994,0.0
0.466,0.894,0.252,0.068,0.234,0.049,0.604,3.938,0.0
0.44,0.911,0.166,0.065,0.219,0.05,0.5,3.934,0.0
0.499,0.902,0.245,0.06,0.215,0.049,0.569,3.909,0.0
0.489,0.934,0.143,0.047,0.17,0.049,0.408,3.942,0.0
0.476,0.94,0.134,0.04,0.153,0.045,0.372,3.932,0.0
0.413,0.932,0.185,0.051,0.174,0.05,0.46,3.949,0.0
0.423,0.956,0.17,0.038,0.117,0.045,0.37,3.891,0.0
0.452,0.932,0.184,0.048,0.181,0.049,0.462,3.945,0.0
0.422,0.945,0.159,0.053,0.142,0.043,0.396,3.922,0.0
0.41,0.948,0.168,0.04,0.138,0.04,0.386,3.983,0.0
0.414,0.96,0.269,0.034,0.121,0.038,0.462,3.938,0.0
0.471,0.961,0.177,0.028,0.108,0.037,0.35,3.943,0.0
0.494,0.962,0.163,0.019,0.108,0.038,0.329,3.94,0.0
0.411,0.953,0.167,0.038,0.132,0.037,0.373,3.932,0.0
0.423,0.974,0.186,0.021,0.086,0.034,0.327,3.895,0.0
0.48,0.964,0.172,0.025,0.104,0.035,0.337,3.911,0.0
0.443,0.977,0.186,0.015,0.073,0.029,0.302,3.91,0.0
0.484,0.969,0.144,0.02,0.101,0.032,0.296,3.925,0.0
0.428,0.972,0.192,0.029,0.086,0.029,0.336,3.911,0.0
0.418,0.984,0.182,0.02,0.047,0.028,0.278,3.954,0.0
0.445,0.968,0.172,0.025,0.087,0.031,0.316,3.973,0.0
0.462,0.972,0.175,0.024,0.082,0.026,0.307,3.939,0.0
0.496,0.984,0.174,0.013,0.054,0.026,0.267,3.889,0.0
0.456,0.978,0.146,0.014,0.062,0.022,0.243,3.898,0.0
0.424,0.986,0.186,0.012,0.038,0.022,0.259,3.939,0.0
0.418,0.979,0.168,0.028,0.064,0.02,0.28,3.898,0.0
0.426,0.984,0.161,0.022,0.059,0.023,0.265,3.923,0.0
0.47,0.984,0.122,0.025,0.049,0.02,0.216,3.922,0.0
0.428,0.98,0.186,0.038,0.06,0.024,0.308,3.996,0.0
0.407,0.974,0.207,0.039,0.083,0.024,0.352,3.956,0.0
0.448,0.988,0.1,0.015,0.039,0.02,0.174,3.982,0.0
