mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.32799999999999996,0.892,1.4769999999999999,0.209,0.33799999999999997,0.077,2.102,4.257,0.0
0.386,0.882,0.6629999999999999,0.19899999999999998,0.33799999999999997,0.10300000000000001,1.3019999999999998,4.2669999999999995,0.0
0.41200000000000003,0.875,0.622,0.18,0.33299999999999996,0.09699999999999999,1.2329999999999999,4.284,0.0
0.41600000000000004,0.8740000000000001,0.501,0.17800000000000002,0.33399999999999996,0.095,1.1079999999999999,4.274,0.0
0.395,0.88,0.583,0.175,0.322,0.08900000000000001,1.169,4.305,0.0
0.45899999999999996,0.8640000000000001,0.436,0.16,0.34299999999999997,0.087,1.026,4.265,0.0
0.447,0.866,0.507,0.16899999999999998,0.34299999999999997,0.084,1.103,4.211,0.0
0.449,0.866,0.405,0.152,0.33,0.078,0.965,4.927,0.0
0.45,0.866,0.5,0.16699999999999998,0.335,0.083,1.085,4.628,0.0
0.45399999999999996,0.866,0.33,0.152,0.32799999999999996,0.075,0.885,4.624,0.0
0.489,0.858,0.401,0.166,0.342,0.083,0.992,4.252,0.0
0.462,0.86,0.358,0.146,0.335,0.078,0.917,4.808,0.0
0.483,0.86,0.37799999999999995,0.153,0.324,0.08199999999999999,0.937,4.2219999999999995,0.0
0.465,0.863,0.37799999999999995,0.146,0.33399999999999996,0.08,0.937,4.494,0.0
0.49700000000000005,0.857,0.35100000000000003,0.14800000000000002,0.33399999999999996,0.081,0.9129999999999999,4.2410000000000005,0.0
0.507,0.853,0.373,0.151,0.342,0.081,0.9470000000000001,4.216,0.0
0.485,0.86,0.342,0.145,0.32899999999999996,0.073,0.889,4.274,0.0
0.506,0.855,0.41600000000000004,0.14,0.33,0.08,0.965,4.376,0.0
0.502,0.853,0.32899999999999996,0.14300000000000002,0.33,0.07400000000000001,0.877,4.558,0.0
0.48100000000000004,0.863,0.35200000000000004,0.141,0.307,0.07200000000000001,0.871,4.652,0.0
0.49700000000000005,0.86,0.27399999999999997,0.135,0.308,0.07400000000000001,0.79,4.1419999999999995,0.0
0.531,0.8540000000000001,0.32,0.133,0.32,0.081,0.855,4.171,0.0
0.5,0.868,0.243,0.128,0.293,0.069,0.7340000000000001,4.169,0.0
0.49700000000000005,0.86,0.35200000000000004,0.134,0.305,0.077,0.868,4.275,0.0
0.5379999999999999,0.8740000000000001,0.235,0.127,0.278,0.073,0.713,4.146,0.0
0.48700000000000004,0.879,0.252,0.135,0.27899999999999997,0.071,0.737,4.311,0.0
0.529,0.882,0.243,0.12,0.258,0.071,0.691,4.25,0.0
0.519,0.8859999999999999,0.312,0.12300000000000001,0.252,0.07,0.7559999999999999,4.206,0.0
0.532,0.907,0.275,0.11800000000000001,0.217,0.066,0.6759999999999999,4.266,0.0
0.518,0.904,0.28600000000000003,0.11699999999999999,0.21600000000000003,0.066,0.685,4.2,0.0
0.541,0.915,0.271,0.111,0.20600000000000002,0.065,0.653,4.229,0.0
0.59,0.9079999999999999,0.302,0.113,0.218,0.069,0.7020000000000001,4.09,0.0
0.5529999999999999,0.932,0.29100000000000004,0.107,0.177,0.063,0.638,4.137,0.0
0.612,0.92,0.29,0.10400000000000001,0.19699999999999998,0.068,0.6579999999999999,4.23,0.0
0.62,0.9279999999999999,0.23199999999999998,0.10300000000000001,0.182,0.062,0.579,4.212,0.0
0.59,0.9259999999999999,0.292,0.10099999999999999,0.17300000000000001,0.064,0.63,4.14,0.0
0.5379999999999999,0.9309999999999999,0.301,0.102,0.17,0.06,0.634,4.189,0.0
0.555,0.938,0.20800000000000002,0.099,0.145,0.06,0.511,4.217,0.0
0.5720000000000001,0.948,0.19899999999999998,0.096,0.128,0.061,0.484,4.1819999999999995,0.0
0.573,0.94,0.19399999999999998,0.092,0.147,0.057999999999999996,0.491,4.171,0.0
0.5760000000000001,0.934,0.235,0.091,0.149,0.057,0.532,4.176,0.0
0.604,0.942,0.198,0.097,0.145,0.059,0.499,4.038,0.0
